article,unit_price
DIVERS BOULANGERIE,"5,70 €"
PLAT,"1,00 €"
PLAT,"3,00 €"
DIVERS VIENNOISERIE,"8,00 €"
DIVERS CONFISERIE,"5,70 €"
DIVERS CONFISERIE,"24,00 €"
DIVERS CONFISERIE,"17,10 €"
DIVERS CONFISERIE,"3,50 €"
TRAITEUR,"22,80 €"
DIVERS PATISSERIE,"15,00 €"
TARTELETTE FRAISE,"3,50 €"
TARTE FRAISE 6P,"21,00 €"
TARTE FRAISE 4PER,"14,00 €"
BRIOCHETTE,"1,00 €"
ROYAL 6P,"21,00 €"
DIVERS CONFISERIE,"0,50 €"
PALET BRETON,"1,50 €"
PLAT,"14,00 €"
DIVERS BOULANGERIE,"5,80 €"
DIVERS SANDWICHS,"9,00 €"
GD NANTAIS,"12,00 €"
DIVERS SANDWICHS,"0,00 €"
TRAITEUR,"9,30 €"
ECLAIR FRAISE PISTACHE,"2,20 €"
DIVERS PATISSERIE,"6,60 €"
DIVERS PATISSERIE,"4,40 €"
DIVERS PATISSERIE,"1,10 €"
DIVERS PATISSERIE,"2,20 €"
DIVERS PATISSERIE,"3,30 €"
DIVERS PATISSERIE,"35,00 €"
DIVERS BOULANGERIE,"0,75 €"
TROPEZIENNE FRAMBOISE,"2,20 €"
BANETTE,"1,15 €"
TRADITIONAL BAGUETTE,"1,30 €"
PAIN CHOCO AMANDES,"1,70 €"
PAIN AU CHOCOLAT,"1,30 €"
QUIM BREAD,"1,20 €"
SEIGLE,"2,00 €"
CAMPAGNE,"2,00 €"
BANETTINE,"0,70 €"
CROISSANT,"1,20 €"
FICELLE,"0,70 €"
CHAUSSON AUX POMMES,"1,60 €"
BAGUETTE,"1,00 €"
PAIN AUX RAISINS,"1,60 €"
SPECIAL BREAD,"2,60 €"
PAIN,"1,30 €"
CROISSANT AMANDES,"1,60 €"
BOULE 400G,"1,70 €"
FLAN,"2,20 €"
BOULE 200G,"1,20 €"
BOULE POLKA,"1,80 €"
ECLAIR,"2,20 €"
TARTELETTE,"2,20 €"
COMPLET,"1,90 €"
MOISSON,"2,20 €"
PAIN BANETTE,"1,60 €"
FLAN ABRICOT,"2,30 €"
SPECIAL BREAD KG,"5,20 €"
DIVERS BOISSONS,"1,50 €"
DIVERS BOULANGERIE,"0,45 €"
FINANCIER X5,"4,00 €"
CEREAL BAGUETTE,"1,35 €"
DEMI PAIN,"0,70 €"
KOUIGN AMANN,"2,30 €"
VIK BREAD,"2,70 €"
DIVERS VIENNOISERIE,"15,00 €"
GD KOUIGN AMANN,"9,00 €"
PLAT,"9,10 €"
MILLES FEUILLES,"2,30 €"
CARAMEL NOIX,"2,40 €"
TRAITEUR,"5,00 €"
BAGUETTE GRAINE,"1,40 €"
TROPEZIENNE FRAMBOISE,"2,30 €"
CHOU CHANTILLY,"2,20 €"
PAIN S/SEL,"2,00 €"
TROPEZIENNE,"2,20 €"
COOKIE,"1,15 €"
DIVERS BOULANGERIE,"14,00 €"
DIVERS BOULANGERIE,"0,65 €"
TRAITEUR,"6,40 €"
NOIX JAPONAISE,"2,30 €"
SAVARIN,"2,50 €"
GD NANTAIS,"14,00 €"
MACARON,"1,00 €"
12 MACARON,"10,00 €"
DIVERS VIENNOISERIE,"1,40 €"
DIVERS VIENNOISERIE,"3,60 €"
PALET BRETON,"1,60 €"
PAIN GRAINES,"2,10 €"
ARMORICAIN,"2,50 €"
ECLAIR FRAISE PISTACHE,"2,50 €"
TRAITEUR,"3,00 €"
PLAQUE TARTE 25P,"35,00 €"
TRAITEUR,"11,62 €"
SABLE F  P,"1,60 €"
PALET BRETON,"1,20 €"
DIVERS PATISSERIE,"60,00 €"
DIVERS VIENNOISERIE,"26,00 €"
ST HONORE,"3,50 €"
MILLES FEUILLES,"2,50 €"
PAIN SUISSE PEPITO,"1,60 €"
DIVERS BOISSONS,"1,00 €"
DIVERS BOISSONS,"0,00 €"
DIVERS BOULANGERIE,"0,15 €"
PLAT,"1,50 €"
TULIPE,"3,50 €"
TRAITEUR,"4,70 €"
TARTELETTE COCKTAIL,"3,00 €"
DIVERS PATISSERIE,"30,00 €"
DIVERS PATISSERIE,"5,50 €"
SACHET DE VIENNOISERIE,"4,00 €"
DIVERS BOULANGERIE,"0,25 €"
